signal,position,population_scope,population_robustness,preferred_population,temporal_stability,signal_layer,layer_role,feature_candidate_eligible,downstream_status,interpretation_caveat,variable_level,bucketing_scheme,n_records,zero_fraction,active_bin_count,effective_n_per_bin,q1_q5_mean_gap,relationship_geometry,monotonicity_confidence,low_confidence,support_flags,support_type,rho_pooled,rho_between,rho_within,within_share,panel_class,decomposition_flag,n_players,rho_full,rho_no_haul,rho_drop,haul_pct,n_haul,tail_sensitive,association_class,promotion_class
was_home,DEF,primary,untested,both,insufficient_data,context,match_environment,False,caveated,"match-level context, not player intrinsic",match_level,discrete,2176,0.5,2,1088.0,,indeterminate,,False,,,0.0742,0.1052,0.0638,0.86,state_sensitive,,162,0.0742,0.0747,-0.0005,1.88,41,False,weak_association,context_control
was_home,MID,primary,untested,both,insufficient_data,context,match_environment,False,caveated,"match-level context, not player intrinsic",match_level,discrete,2366,0.495,2,1183.0,,indeterminate,,False,,,0.044,-0.0073,0.0476,,indeterminate,unstable_ratio,191,0.044,0.0436,0.0004,2.45,58,False,weak_association,context_control
was_home,FWD,primary,untested,both,insufficient_data,context,match_environment,False,caveated,"match-level context, not player intrinsic",match_level,discrete,546,0.484,2,273.0,,indeterminate,,False,,,0.0164,-0.2359,0.021,,indeterminate,unstable_ratio,49,0.0164,-0.0181,0.0345,5.13,28,False,weak_association,context_control
starts,GK,primary,untested,both,unassessable,exposure,selection_access,False,blocked,"selection proxy, not quality",player_level,discrete,553,0.0,2,276.5,,unassessable,,False,insufficient_support:bin_density,,0.1209,0.1684,0.0673,0.557,state_sensitive,,35,0.1209,0.104,0.0168,0.9,5,False,unassessable,
starts,DEF,primary,untested,both,insufficient_data,exposure,selection_access,False,caveated,"selection proxy, not quality",player_level,discrete,2214,0.004,3,738.0,4.907,monotonic_positive,0.7,True,,,0.1125,0.1905,0.0561,0.498,state_sensitive,,162,0.1125,0.0892,0.0233,2.12,47,False,weak_association,exposure_control
starts,MID,primary,untested,both,insufficient_data,exposure,selection_access,False,caveated,"selection proxy, not quality",player_level,discrete,2412,0.007,3,804.0,4.25,monotonic_positive,0.96,False,,,0.0867,0.2386,0.077,0.888,state_sensitive,,192,0.0867,0.0663,0.0204,2.65,64,False,continuous_monotonic,exposure_control
starts,FWD,primary,untested,both,unassessable,exposure,selection_access,False,blocked,"selection proxy, not quality",player_level,discrete,557,0.004,3,185.7,,unassessable,,False,insufficient_support:bin_density,,0.138,0.175,0.0897,0.65,state_sensitive,,49,0.138,0.1424,-0.0044,5.21,29,False,unassessable,
influence,GK,primary,untested,both,insufficient_data,performance,contribution_component,True,caveated,descriptive component,player_level,quantile,553,0.002,5,110.6,,indeterminate,,False,,,0.3345,0.194,0.3072,0.918,state_sensitive,,35,0.3345,0.3177,0.0168,0.9,5,False,weak_association,review_signal
influence,DEF,primary,untested,both,stable,performance,contribution_component,True,caveated,descriptive component,player_level,quantile,2214,0.003,5,442.8,4.165,monotonic_positive,0.685,True,,,0.4165,0.5233,0.419,,indeterminate,unstable_ratio,162,0.4165,0.3786,0.0379,2.12,47,False,weak_association,review_signal
influence,MID,primary,untested,both,stable,performance,contribution_component,True,caveated,descriptive component,player_level,quantile,2412,0.035,5,482.4,6.804,monotonic_positive,0.82,False,,,0.7103,0.8414,0.7902,,indeterminate,unstable_ratio,192,0.7103,0.6854,0.0248,2.65,64,False,weak_association,review_signal
