signal,position,signal_family,n_conditioned,n_active,zero_rate_conditioned,zero_rate_active,zero_rate_delta,structural_zero_risk,rank_order_stability,variance_ratio,support_collapse,exposure_sensitivity,preferred_population,support_quality,measurement_character,gw_block_variance_stability,early_vs_mid_pct,late_vs_mid_pct,variance_annotation,status
red_cards,DEF,discipline,2214,2882,0.9959,0.9931,-0.0028,high,0.669,1.702,0.45,exposure_sensitive,both,borderline,structural_zero,stable,-11.754248666664457,25.15411403536012,NEAR_CONSTANT,EXCLUDE:structural_zero
red_cards,FWD,discipline,557,1049,1.0,1.0,0.0,high,,,,exposure_degenerate,exposure_conditioned,insufficient,structural_zero,unknown,,,CONSTANT,EXCLUDE:constant_variance
red_cards,GK,discipline,553,561,1.0,1.0,0.0,high,,,,exposure_degenerate,exposure_conditioned,insufficient,structural_zero,unknown,,,CONSTANT,EXCLUDE:constant_variance
red_cards,MID,discipline,2412,3918,0.9975,0.9969,-0.0006,high,0.692,1.23,0.5,exposure_sensitive,both,borderline,structural_zero,stable,-26.91837393241666,27.796434891753208,NEAR_CONSTANT,EXCLUDE:structural_zero
saves,DEF,defensive,2214,2882,1.0,1.0,0.0,high,,,,exposure_degenerate,exposure_conditioned,insufficient,structural_zero,unknown,,,CONSTANT,EXCLUDE:constant_variance
saves,FWD,defensive,557,1049,1.0,1.0,0.0,high,,,,exposure_degenerate,exposure_conditioned,insufficient,structural_zero,unknown,,,CONSTANT,EXCLUDE:constant_variance
saves,GK,defensive,553,561,0.0723,0.0749,0.0026,low,0.986,1.004,0.988,exposure_robust,both,sufficient,continuous_form,stable,-1.4378473846100692,-1.15239521847742,OK,INCLUDE
saves,MID,defensive,2412,3918,1.0,1.0,0.0,high,,,,exposure_degenerate,exposure_conditioned,insufficient,structural_zero,unknown,,,CONSTANT,EXCLUDE:constant_variance
starts,DEF,exposure,2214,2882,0.0036,0.1908,0.1872,moderate,0.321,9.662,0.946,exposure_proxy,active_population,borderline,binary_event,expanding,-37.55621217478108,265.6750290775675,NEAR_CONSTANT,INCLUDE
starts,FWD,exposure,557,1049,0.0036,0.4214,0.4178,high,0.313,13.237,0.914,exposure_proxy,active_population,borderline,binary_event,expanding,11.001930485143241,212.7911793818607,NEAR_CONSTANT,INCLUDE
starts,GK,exposure,553,561,0.0,0.0089,0.0089,low,0.893,1.623,0.995,exposure_proxy,active_population,borderline,binary_event,unknown,,,NEAR_CONSTANT,INCLUDE
starts,MID,exposure,2412,3918,0.0075,0.327,0.3195,high,0.266,13.22,0.908,exposure_proxy,active_population,borderline,binary_event,expanding,38.20578937009253,145.55195869162768,NEAR_CONSTANT,INCLUDE
threat,DEF,attacking,2214,2882,0.2949,0.3803,0.0854,low,0.928,0.872,0.874,exposure_robust,both,sufficient,continuous_form,stable,5.156546056790567,8.717105538136849,OK,INCLUDE
threat,FWD,attacking,557,1049,0.0287,0.1602,0.1315,moderate,0.664,0.805,0.614,exposure_sensitive,exposure_conditioned,sufficient,continuous_form,stable,4.653915077325754,-1.4179405673223289,OK,INCLUDE
threat,GK,attacking,553,561,0.9946,0.9947,0.0001,high,1.0,0.986,1.0,exposure_robust,exposure_conditioned,borderline,structural_zero,unknown,,,NEAR_CONSTANT,EXCLUDE:structural_zero
threat,MID,attacking,2412,3918,0.1434,0.2637,0.1203,moderate,0.919,0.819,0.716,exposure_robust,both,sufficient,continuous_form,stable,-6.958006726472632,-3.1171883101732356,OK,INCLUDE
transfers_balance,DEF,market,2214,2882,0.0009,0.001,0.0001,low,0.939,0.816,0.82,exposure_proxy,active_population,sufficient,continuous_form,stable,0.2646014644494876,-7.373810172372563,OK,INCLUDE
transfers_balance,FWD,market,557,1049,0.0,0.001,0.001,low,0.769,0.597,0.637,exposure_proxy,active_population,sufficient,continuous_form,stable,16.500239296366416,-23.51343164594688,OK,INCLUDE
transfers_balance,GK,market,553,561,0.0,0.0,0.0,low,1.0,0.986,0.989,exposure_proxy,active_population,sufficient,continuous_form,expanding,71.63226955740916,37.839210511893114,OK,INCLUDE
transfers_balance,MID,market,2412,3918,0.0,0.0018,0.0018,low,0.798,0.696,0.714,exposure_proxy,active_population,sufficient,continuous_form,compressing,-15.75447243346214,-36.447650624489214,OK,INCLUDE
transfers_in,DEF,market,2214,2882,0.0005,0.0007,0.0002,low,0.982,0.827,0.768,exposure_proxy,active_population,sufficient,continuous_form,stable,6.92425447842322,-22.977573469094214,OK,INCLUDE
transfers_in,FWD,market,557,1049,0.0,0.001,0.001,low,0.986,0.631,0.531,exposure_proxy,active_population,sufficient,continuous_form,stable,23.134626160285343,-27.42332930853403,OK,INCLUDE
transfers_in,GK,market,553,561,0.0,0.0,0.0,low,0.999,0.99,0.986,exposure_proxy,active_population,sufficient,continuous_form,expanding,50.216919504229466,1.019408918904352,OK,INCLUDE
transfers_in,MID,market,2412,3918,0.0,0.001,0.001,low,0.988,0.674,0.616,exposure_proxy,active_population,sufficient,continuous_form,compressing,-23.726394059524857,-50.53310678572185,OK,INCLUDE
transfers_out,DEF,market,2214,2882,0.0005,0.0003,-0.0002,low,0.988,0.852,0.768,exposure_proxy,active_population,sufficient,continuous_form,stable,-16.45314258795946,-25.137465063755894,OK,INCLUDE
transfers_out,FWD,market,557,1049,0.0,0.001,0.001,low,0.974,0.657,0.531,exposure_proxy,active_population,sufficient,continuous_form,compressing,3.9958317110663444,-40.55593512021536,OK,INCLUDE
transfers_out,GK,market,553,561,0.0,0.0,0.0,low,0.999,0.991,0.986,exposure_proxy,active_population,sufficient,continuous_form,expanding,88.72165826601707,18.195642383581912,OK,INCLUDE
transfers_out,MID,market,2412,3918,0.0,0.0008,0.0008,low,0.989,0.829,0.616,exposure_proxy,active_population,sufficient,continuous_form,stable,10.8355391337573,-22.250922512625447,OK,INCLUDE
was_home,DEF,fixture,2176,2837,0.4995,0.5033,0.0038,low,0.601,1.0,0.773,exposure_sensitive,both,sufficient,binary_event,stable,0.01041320371464316,0.014256780648103096,OK,INCLUDE
was_home,FWD,fixture,546,1030,0.4835,0.4893,0.0058,low,0.583,1.0,0.536,exposure_sensitive,both,sufficient,binary_event,stable,-0.09186870080739595,0.06493482586578114,OK,INCLUDE
was_home,GK,fixture,545,553,0.4972,0.5009,0.0037,low,0.993,1.0,0.993,exposure_robust,both,sufficient,binary_event,stable,0.02539037745625805,0.03100291214048756,OK,INCLUDE
was_home,MID,fixture,2366,3854,0.4954,0.4961,0.0007,low,0.325,1.0,0.615,exposure_sensitive,both,sufficient,binary_event,stable,0.019724743156990243,0.02057758345892502,OK,INCLUDE
xa,DEF,creativity,2214,2882,0.1947,0.3008,0.1061,moderate,0.937,0.848,0.885,exposure_robust,both,sufficient,continuous_form,expanding,29.230468180598514,31.68714382028004,OK,INCLUDE
xa,FWD,creativity,557,1049,0.2208,0.4261,0.2053,high,0.885,0.663,0.721,exposure_robust,exposure_conditioned,sufficient,continuous_form,expanding,-8.281920112780272,38.39203957515911,OK,INCLUDE
xa,GK,creativity,553,561,0.8897,0.8913,0.0016,low,1.0,0.986,1.0,exposure_robust,both,borderline,participation_proxy,expanding,26.912429384927506,277.80285759303933,NEAR_CONSTANT,INCLUDE
xa,MID,creativity,2412,3918,0.0456,0.1907,0.1451,moderate,0.889,0.783,0.726,exposure_robust,both,sufficient,continuous_form,stable,-11.582822613579847,5.445561085622841,OK,INCLUDE
xg,DEF,attacking,2214,2882,0.5777,0.6426,0.0649,low,0.916,0.883,0.908,exposure_robust,both,sufficient,participation_proxy,stable,20.5265219292291,14.702869079579628,OK,INCLUDE
xg,FWD,attacking,557,1049,0.1436,0.3213,0.1777,moderate,0.619,0.731,0.67,exposure_sensitive,exposure_conditioned,sufficient,continuous_form,stable,23.796237868120663,10.944489794235611,OK,INCLUDE
xg,GK,attacking,553,561,0.9982,0.9982,0.0,high,1.0,0.986,1.0,exposure_robust,exposure_conditioned,borderline,structural_zero,unknown,,,NEAR_CONSTANT,EXCLUDE:structural_zero
xg,MID,attacking,2412,3918,0.2981,0.4357,0.1376,moderate,0.898,0.766,0.766,exposure_robust,both,sufficient,continuous_form,stable,-17.663603121351223,-8.04972749047571,OK,INCLUDE
xgc,DEF,defensive,2214,2882,0.0009,0.0357,0.0348,low,0.704,1.119,0.796,exposure_sensitive,both,sufficient,continuous_form,stable,7.987196219172499,1.2425458293570557,OK,INCLUDE
xgc,FWD,defensive,557,1049,0.0018,0.0505,0.0487,low,0.66,0.974,0.558,exposure_sensitive,both,sufficient,continuous_form,stable,6.500994410660543,15.774782965718348,OK,INCLUDE
xgc,GK,defensive,553,561,0.0,0.0018,0.0018,low,0.993,1.006,0.988,exposure_robust,both,sufficient,continuous_form,stable,9.364089440376521,2.2657816478463877,OK,INCLUDE
xgc,MID,defensive,2412,3918,0.0012,0.0465,0.0453,low,0.732,1.083,0.645,exposure_sensitive,both,sufficient,continuous_form,stable,4.092181806468753,-3.2613699921127837,OK,INCLUDE
xgi,DEF,creativity,2214,2882,0.131,0.2359,0.1049,moderate,0.922,0.886,0.874,exposure_robust,both,sufficient,continuous_form,stable,21.34881391062482,20.48074745270563,OK,INCLUDE
xgi,FWD,creativity,557,1049,0.0413,0.1983,0.157,moderate,0.597,0.758,0.635,exposure_sensitive,exposure_conditioned,sufficient,continuous_form,stable,24.028049716543375,10.596991415441149,OK,INCLUDE
xgi,GK,creativity,553,561,0.8879,0.8895,0.0016,low,1.0,0.986,1.0,exposure_robust,both,borderline,participation_proxy,expanding,26.912429384927506,394.2035134080552,NEAR_CONSTANT,INCLUDE
xgi,MID,creativity,2412,3918,0.0232,0.1411,0.1179,moderate,0.912,0.806,0.7,exposure_robust,both,sufficient,continuous_form,stable,-15.800961474755482,-5.532952335118358,OK,INCLUDE
yellow_cards,DEF,discipline,2214,2882,0.832,0.8518,0.0198,low,0.826,0.903,0.871,exposure_sensitive,both,borderline,participation_proxy,stable,-10.159623539608953,-4.2744230531235665,NEAR_CONSTANT,INCLUDE
yellow_cards,FWD,discipline,557,1049,0.8977,0.9161,0.0184,low,0.818,0.836,0.648,exposure_sensitive,both,borderline,participation_proxy,stable,-14.652125643823888,12.101609065273578,NEAR_CONSTANT,INCLUDE
yellow_cards,GK,discipline,553,561,0.9313,0.9323,0.001,high,1.0,0.987,1.0,exposure_robust,both,borderline,structural_zero,expanding,13.938180389340339,31.659344520947585,NEAR_CONSTANT,INCLUDE
yellow_cards,MID,discipline,2412,3918,0.8396,0.8737,0.0341,low,0.856,0.818,0.782,exposure_robust,both,borderline,participation_proxy,stable,1.718025966481651,1.000681017438354,NEAR_CONSTANT,INCLUDE
