signal,position,scope,signal_family,n,mean,median,std,iqr,cv,skew,p25,p75,p90,zero_rate,null_rate
red_cards,GK,conditioned,discipline,553,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,1.0,0.0
red_cards,DEF,conditioned,discipline,2214,0.004065,0.0,0.063642,0.0,15.656,15.599,0.0,0.0,0.0,0.9959,0.0
red_cards,MID,conditioned,discipline,2412,0.002488,0.0,0.049824,0.0,20.0291,19.987,0.0,0.0,0.0,0.9975,0.0
red_cards,FWD,conditioned,discipline,557,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,1.0,0.0
penalties_missed,GK,conditioned,discipline,553,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,1.0,0.0
penalties_missed,DEF,conditioned,discipline,2214,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,1.0,0.0
penalties_missed,MID,conditioned,discipline,2412,0.001658,0.0,0.040698,0.0,24.5408,24.51,0.0,0.0,0.0,0.9983,0.0
penalties_missed,FWD,conditioned,discipline,557,0.012567,0.0,0.111498,0.0,8.872,8.775,0.0,0.0,0.0,0.9874,0.0
in_dreamteam,GK,conditioned,discipline,553,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,1.0,0.0
in_dreamteam,DEF,conditioned,discipline,2214,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,1.0,0.0
in_dreamteam,MID,conditioned,discipline,2412,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,1.0,0.0
in_dreamteam,FWD,conditioned,discipline,557,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,1.0,0.0
goals_scored,GK,active,attacking,561,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,1.0,0.0
goals_scored,DEF,active,attacking,2882,0.037474,0.0,0.20234,0.0,5.3995,5.727,0.0,0.0,0.0,0.965,0.0
goals_scored,MID,active,attacking,3918,0.101582,0.0,0.329616,0.0,3.2448,3.511,0.0,0.0,0.0,0.9061,0.0
goals_scored,FWD,active,attacking,1049,0.236416,0.0,0.512598,0.0,2.1682,2.235,0.0,0.0,1.0,0.8017,0.0
assists,GK,active,creativity,561,0.003565,0.0,0.059655,0.0,16.7332,16.703,0.0,0.0,0.0,0.9964,0.0
assists,DEF,active,creativity,2882,0.063151,0.0,0.248918,0.0,3.9417,3.861,0.0,0.0,0.0,0.9382,0.0
assists,MID,active,creativity,3918,0.112557,0.0,0.33795,0.0,3.0025,2.994,0.0,0.0,1.0,0.8946,0.0
assists,FWD,active,creativity,1049,0.077216,0.0,0.287702,0.0,3.7259,4.112,0.0,0.0,0.0,0.9276,0.0
xg,GK,active,attacking,561,0.000285,0.0,0.006755,0.0,23.6854,23.685,0.0,0.0,0.0,0.9982,0.0
xg,DEF,active,attacking,2882,0.0473,0.0,0.111843,0.04,2.3645,3.88,0.0,0.04,0.15,0.6426,0.0
xg,MID,active,attacking,3918,0.104678,0.03,0.194569,0.12,1.8587,3.691,0.0,0.12,0.31,0.4357,0.0
xg,FWD,active,attacking,1049,0.246864,0.1,0.361414,0.33,1.464,2.596,0.0,0.33,0.7620000000000005,0.3213,0.0
xa,GK,active,creativity,561,0.00164,0.0,0.008628,0.0,5.2614,16.232,0.0,0.0,0.01,0.8913,0.0
xa,DEF,active,creativity,2882,0.047939,0.01,0.094311,0.04,1.9673,3.678,0.0,0.04,0.14,0.3008,0.0
xa,MID,active,creativity,3918,0.085875,0.03,0.136805,0.09,1.5931,2.779,0.01,0.1,0.25,0.1907,0.0
xa,FWD,active,creativity,1049,0.034166,0.01,0.075729,0.03,2.2165,4.325,0.0,0.03,0.1,0.4261,0.0
xgi,GK,active,creativity,561,0.001925,0.0,0.010915,0.0,5.6699,13.412,0.0,0.0,0.01,0.8895,0.0
xgi,DEF,active,creativity,2882,0.095208,0.03,0.15146,0.11,1.5908,2.661,0.01,0.12,0.28,0.2359,0.0
xgi,MID,active,creativity,3918,0.190533,0.09,0.257157,0.24,1.3497,2.585,0.02,0.26,0.52,0.1411,0.0
xgi,FWD,active,creativity,1049,0.280991,0.13,0.376058,0.39,1.3383,2.4,0.01,0.4,0.8,0.1983,0.0
bonus,GK,active,form,561,0.215686,0.0,0.669357,0.0,3.1034,3.197,0.0,0.0,1.0,0.8895,0.0
bonus,DEF,active,form,2882,0.174532,0.0,0.600015,0.0,3.4379,3.616,0.0,0.0,0.0,0.908,0.0
bonus,MID,active,form,3918,0.212608,0.0,0.678624,0.0,3.1919,3.265,0.0,0.0,1.0,0.8964,0.0
bonus,FWD,active,form,1049,0.323165,0.0,0.842257,0.0,2.6063,2.491,0.0,0.0,2.0,0.8532,0.0
bps,GK,active,form,561,14.385027,12.0,10.598251,15.0,0.7368,0.635,7.0,22.0,30.0,0.0125,0.0
bps,DEF,active,form,2882,11.472935,8.0,11.55189,16.0,1.0069,0.794,3.0,19.0,28.0,0.0281,0.0
bps,MID,active,form,3918,12.25268,10.0,10.90397,13.0,0.8899,1.469,4.0,17.0,27.0,0.0176,0.0
bps,FWD,active,form,1049,10.723546,5.0,14.622992,11.0,1.3636,2.034,2.0,13.0,32.0,0.0534,0.0
ict_index,GK,active,form,561,2.355615,2.2,1.361397,1.7,0.5779,1.193,1.4,3.1,4.0,0.0018,0.0
ict_index,DEF,active,form,2882,3.054927,2.6,2.437691,2.7,0.798,1.569,1.4,4.1,6.1,0.0368,0.0
ict_index,MID,active,form,3918,3.673047,2.7,3.460397,4.3,0.9421,1.516,1.0,5.3,8.5,0.0401,0.0
ict_index,FWD,active,form,1049,3.70143,2.4,3.989881,5.0,1.0779,1.671,0.7,5.7,9.0,0.0715,0.0
influence,GK,active,form,561,23.101604,21.6,13.020369,16.2,0.5636,1.021,14.0,30.2,39.8,0.0018,0.0
influence,DEF,active,form,2882,17.172519,15.6,13.029882,15.55,0.7588,1.437,7.85,23.4,32.6,0.0385,0.0
influence,MID,active,form,3918,12.942215,7.8,14.766524,15.0,1.141,1.977,2.6,17.6,35.0,0.0939,0.0
influence,FWD,active,form,1049,12.229552,3.4,18.573023,15.0,1.5187,2.02,0.0,15.0,37.8,0.2545,0.0
creativity,GK,active,creativity,561,0.374153,0.0,2.048761,0.0,5.4757,6.136,0.0,0.0,0.0,0.9483,0.0
creativity,DEF,active,creativity,2882,7.601076,2.3,10.737325,11.1,1.4126,2.442,0.7,11.8,20.8,0.0593,0.0
creativity,MID,active,creativity,3918,13.642802,10.3,15.292026,18.0,1.1209,1.846,1.8,19.8,34.4,0.0393,0.0
creativity,FWD,active,creativity,1049,6.89266,2.3,8.710016,11.2,1.2637,1.754,0.6,11.8,19.58000000000002,0.0944,0.0
threat,GK,active,attacking,561,0.069519,0.0,1.482209,0.0,21.321,23.464,0.0,0.0,0.0,0.9947,0.0
threat,DEF,active,attacking,2882,5.746704,2.0,9.459189,7.0,1.646,2.916,0.0,7.0,17.0,0.3803,0.0
threat,MID,active,attacking,3918,10.184278,5.0,13.502247,15.0,1.3258,2.077,0.0,15.0,28.0,0.2637,0.0
threat,FWD,active,attacking,1049,18.182078,11.0,20.545616,24.0,1.13,1.829,2.0,26.0,45.0,0.1602,0.0
clean_sheets,GK,active,defensive,561,0.247772,0.0,0.432104,0.0,1.744,1.172,0.0,0.0,1.0,0.7522,0.0
clean_sheets,DEF,active,defensive,2882,0.208189,0.0,0.406083,0.0,1.9506,1.438,0.0,0.0,1.0,0.7918,0.0
clean_sheets,MID,active,defensive,3918,0.183512,0.0,0.387135,0.0,2.1096,1.636,0.0,0.0,1.0,0.8165,0.0
clean_sheets,FWD,active,defensive,1049,0.166826,0.0,0.372998,0.0,2.2359,1.79,0.0,0.0,1.0,0.8332,0.0
goals_conceded,GK,active,defensive,561,1.399287,1.0,1.139047,1.0,0.814,0.584,1.0,2.0,3.0,0.2496,0.0
goals_conceded,DEF,active,defensive,2882,1.143997,1.0,1.092914,2.0,0.9553,0.798,0.0,2.0,3.0,0.3439,0.0
goals_conceded,MID,active,defensive,3918,0.933895,1.0,1.015564,2.0,1.0875,1.009,0.0,2.0,2.0,0.4239,0.0
goals_conceded,FWD,active,defensive,1049,0.85224,1.0,0.959135,1.0,1.1254,1.098,0.0,1.0,2.0,0.4461,0.0
saves,GK,active,defensive,561,2.843137,3.0,1.767866,2.0,0.6218,0.81,2.0,4.0,5.0,0.0749,0.0
saves,DEF,active,defensive,2882,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,1.0,0.0
saves,MID,active,defensive,3918,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,1.0,0.0
saves,FWD,active,defensive,1049,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,1.0,0.0
xgc,GK,active,defensive,561,1.423708,1.33,0.799106,1.08,0.5613,0.8,0.83,1.91,2.45,0.0018,0.0
xgc,DEF,active,defensive,2882,1.162023,1.05,0.834392,1.19,0.7181,0.825,0.49,1.68,2.28,0.0357,0.0
xgc,MID,active,defensive,3918,0.945041,0.79,0.758576,1.08,0.8027,0.901,0.34,1.42,2.01,0.0465,0.0
xgc,FWD,active,defensive,1049,0.867159,0.7,0.748848,1.02,0.8636,1.179,0.27,1.29,1.9120000000000004,0.0505,0.0
penalties_saved,GK,active,defensive,561,0.01426,0.0,0.118668,0.0,8.3216,8.216,0.0,0.0,0.0,0.9857,0.0
penalties_saved,DEF,active,defensive,2882,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,1.0,0.0
penalties_saved,MID,active,defensive,3918,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,1.0,0.0
penalties_saved,FWD,active,defensive,1049,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,1.0,0.0
own_goals,GK,active,discipline,561,0.00713,0.0,0.084214,0.0,11.811,11.747,0.0,0.0,0.0,0.9929,0.0
own_goals,DEF,active,discipline,2882,0.007634,0.0,0.090951,0.0,11.9146,12.674,0.0,0.0,0.0,0.9927,0.0
own_goals,MID,active,discipline,3918,0.001021,0.0,0.03194,0.0,31.285,31.261,0.0,0.0,0.0,0.999,0.0
own_goals,FWD,active,discipline,1049,0.000953,0.0,0.030875,0.0,32.3883,32.388,0.0,0.0,0.0,0.999,0.0
minutes,GK,active,exposure,561,90.475936,90.0,12.649388,0.0,0.1398,3.694,90.0,90.0,90.0,0.0,0.0
minutes,DEF,active,exposure,2882,73.273421,90.0,31.509565,24.75,0.43,-0.909,65.25,90.0,90.0,0.0,0.0
minutes,MID,active,exposure,3918,60.601582,74.0,33.073328,63.0,0.5458,-0.377,27.0,90.0,90.0,0.0,0.0
minutes,FWD,active,exposure,1049,53.681602,63.0,34.63068,69.0,0.6451,0.074,19.0,88.0,90.0,0.0,0.0
