signal,position,population_scope,population_robustness,signal_layer,layer_role,feature_candidate_eligible,downstream_status,interpretation_caveat,variable_level,preferred_population,bucketing_scheme,n_records,zero_fraction,active_bin_count,effective_n_per_bin,q1_q5_mean_gap,relationship_geometry,monotonicity_confidence,low_confidence,support_flags,support_type,temporal_stability,rho_pooled,rho_between,rho_within,within_share,panel_class,decomposition_flag,n_players,rho_full,rho_no_haul,rho_drop,haul_pct,n_haul,tail_sensitive,association_class,promotion_class
starts,FWD,primary,untested,exposure,selection_access,False,caveated,"selection proxy, not quality",player_level,active_population,discrete,1124,0.42,2.0,374.7,5.125,monotonic_positive,0.997,False,,,moderate_shift,0.6072,0.8325,0.2829,0.466,state_sensitive,,62,0.6072,0.5969,0.0103,2.85,32,False,continuous_monotonic,exposure_control
starts,GK,primary,untested,exposure,selection_access,False,blocked,"selection proxy, not quality",player_level,active_population,discrete,596,0.01,,,,unassessable,,False,insufficient_support:bin_density,structural_binary,insufficient_data,0.1689,0.3906,0.0828,0.49,state_sensitive,,37,0.1689,0.1576,0.0114,0.84,5,False,unassessable,
starts,MID,primary,untested,exposure,selection_access,False,caveated,"selection proxy, not quality",player_level,active_population,discrete,4140,0.326,3.0,1380.0,6.267,monotonic_positive,1.0,False,,,moderate_shift,0.6052,0.8341,0.3653,0.604,state_sensitive,,239,0.6052,0.6016,0.0036,1.64,68,False,continuous_monotonic,exposure_control
threat,DEF,primary,untested,performance,attacking_threat,True,blocked,position-sensitive support required,player_level,both,quantile,3060,0.379,,,,indeterminate,,False,degenerate,near_constant_position,insufficient_data,0.2751,0.6439,0.2494,0.906,state_sensitive,,180,0.2751,0.248,0.0271,1.57,48,False,weak_association,
threat,FWD,primary,untested,performance,attacking_threat,True,caveated,position-sensitive support required,player_level,exposure_conditioned,quantile,596,0.029,5.0,119.2,5.027,monotonic_positive,0.963,False,,,stable,0.5146,0.6097,0.5356,,indeterminate,unstable_ratio,50,0.5146,0.444,0.0706,5.37,32,False,weak_association,review_signal
threat,MID,primary,untested,performance,attacking_threat,True,blocked,position-sensitive support required,player_level,both,quantile,4140,0.264,,,,indeterminate,,False,degenerate,near_constant_position,insufficient_data,0.4543,0.7174,0.4244,0.934,state_sensitive,,239,0.4543,0.4313,0.0231,1.64,68,False,weak_association,
transfers_balance,DEF,primary,untested,market_behavior,net_demand,False,caveated,behavioral demand signal,player_level,active_population,quantile,3060,0.001,5.0,612.0,,non_monotonic,,False,,,insufficient_data,0.1135,0.6547,0.0824,0.726,state_sensitive,,180,0.1135,0.111,0.0025,1.57,48,False,weak_association,market_context
transfers_balance,FWD,primary,untested,market_behavior,net_demand,False,caveated,behavioral demand signal,player_level,active_population,quantile,1124,0.001,5.0,224.8,,non_monotonic,,False,,,insufficient_data,0.0983,0.5845,0.1238,,indeterminate,unstable_ratio,62,0.0983,0.091,0.0073,2.85,32,False,weak_association,market_context
transfers_balance,GK,primary,untested,market_behavior,net_demand,False,caveated,behavioral demand signal,player_level,active_population,quantile,596,0.0,5.0,119.2,,threshold_positive,,False,,,insufficient_data,0.0828,0.4371,0.0872,,indeterminate,unstable_ratio,37,0.0828,0.0746,0.0082,0.84,5,False,upper_tail_concentrated,market_context
transfers_balance,MID,primary,untested,market_behavior,net_demand,False,caveated,behavioral demand signal,player_level,active_population,quantile,4140,0.002,5.0,828.0,,non_monotonic,,False,,,insufficient_data,0.1224,0.6093,0.1253,,indeterminate,unstable_ratio,239,0.1224,0.1146,0.0078,1.64,68,False,weak_association,market_context
transfers_in,DEF,primary,untested,market_behavior,demand_inflow,False,caveated,behavioral demand signal,player_level,active_population,quantile,3060,0.001,5.0,612.0,1.881,monotonic_positive,0.892,False,,,stable,0.2416,0.767,0.0509,0.211,mixed,,180,0.2416,0.227,0.0145,1.57,48,False,continuous_monotonic,market_context
transfers_in,FWD,primary,untested,market_behavior,demand_inflow,False,caveated,behavioral demand signal,player_level,active_population,quantile,1124,0.001,5.0,224.8,2.329,monotonic_positive,0.883,False,,,stable,0.3674,0.7802,0.1282,0.349,mixed,,62,0.3674,0.3426,0.0248,2.85,32,False,continuous_monotonic,market_context
transfers_in,GK,primary,untested,market_behavior,demand_inflow,False,caveated,behavioral demand signal,player_level,active_population,quantile,596,0.0,5.0,119.2,,saturation,,False,,,insufficient_data,0.1291,0.5124,0.0575,0.445,state_sensitive,,37,0.1291,0.1271,0.002,0.84,5,False,upper_tail_concentrated,market_context
transfers_in,MID,primary,untested,market_behavior,demand_inflow,False,caveated,behavioral demand signal,player_level,active_population,quantile,4140,0.001,5.0,828.0,2.445,monotonic_positive,0.99,False,,,stable,0.3472,0.8423,0.1105,0.318,mixed,,239,0.3472,0.3368,0.0104,1.64,68,False,continuous_monotonic,market_context
transfers_out,DEF,primary,untested,market_behavior,demand_outflow,False,caveated,behavioral demand signal,player_level,active_population,quantile,3060,0.0,5.0,612.0,,indeterminate,,False,,,insufficient_data,0.1677,0.6518,-0.0387,0.231,mixed,,180,0.1677,0.1534,0.0143,1.57,48,False,weak_association,market_context
transfers_out,FWD,primary,untested,market_behavior,demand_outflow,False,caveated,behavioral demand signal,player_level,active_population,quantile,1124,0.001,5.0,224.8,1.751,monotonic_positive,0.644,True,,,stable,0.2823,0.676,-0.029,0.103,identity_dominant,,62,0.2823,0.2631,0.0192,2.85,32,False,weak_association,market_context
transfers_out,GK,primary,untested,market_behavior,demand_outflow,False,caveated,behavioral demand signal,player_level,active_population,quantile,596,0.0,5.0,119.2,,non_monotonic,,False,,,insufficient_data,0.033,0.4103,-0.0736,,indeterminate,unstable_ratio,37,0.033,0.0406,-0.0076,0.84,5,False,weak_association,market_context
transfers_out,MID,primary,untested,market_behavior,demand_outflow,False,caveated,behavioral demand signal,player_level,active_population,quantile,4140,0.001,5.0,828.0,1.757,monotonic_positive,0.977,False,,,stable,0.2701,0.7644,-0.0064,0.024,identity_dominant,,239,0.2701,0.2595,0.0106,1.64,68,False,weak_association,market_context
was_home,DEF,primary,untested,context,match_environment,False,caveated,"match-level context, not player intrinsic",match_level,both,discrete,3015,0.502,2.0,1507.5,,indeterminate,,False,,,insufficient_data,0.0857,0.0465,0.0753,0.879,state_sensitive,,180,0.0857,0.0857,-0.0,1.39,42,False,weak_association,context_control
was_home,FWD,primary,untested,context,match_environment,False,caveated,"match-level context, not player intrinsic",match_level,both,discrete,1105,0.49,2.0,552.5,,indeterminate,,False,,,insufficient_data,0.0114,0.0516,0.039,,indeterminate,unstable_ratio,62,0.0114,-0.0025,0.0139,2.81,31,False,weak_association,context_control
was_home,GK,primary,untested,context,match_environment,False,caveated,"match-level context, not player intrinsic",match_level,both,discrete,588,0.5,2.0,294.0,,indeterminate,,False,,,insufficient_data,0.0673,0.2414,0.0684,,indeterminate,unstable_ratio,37,0.0673,0.0621,0.0052,0.68,4,False,weak_association,context_control
was_home,MID,primary,untested,context,match_environment,False,caveated,"match-level context, not player intrinsic",match_level,both,discrete,4076,0.498,2.0,2038.0,,indeterminate,,False,,,insufficient_data,0.0355,-0.044,0.0474,,indeterminate,unstable_ratio,239,0.0355,0.0358,-0.0004,1.52,62,False,weak_association,context_control
xa,DEF,primary,untested,performance,chance_creation_quality,True,blocked,position-sensitive support required,player_level,both,quantile,3060,0.303,,,,indeterminate,,False,degenerate,near_constant_position,insufficient_data,0.2146,0.4469,0.1479,0.689,state_sensitive,,180,0.2146,0.2024,0.0122,1.57,48,False,weak_association,
xa,FWD,primary,untested,performance,chance_creation_quality,True,blocked,position-sensitive support required,player_level,exposure_conditioned,quantile,596,0.216,,,,indeterminate,,False,degenerate,near_constant_position,insufficient_data,0.1854,0.2856,0.1506,0.813,state_sensitive,,50,0.1854,0.1657,0.0196,5.37,32,False,weak_association,
xa,GK,primary,untested,performance,chance_creation_quality,True,caveated,position-sensitive support required,player_level,both,discrete,596,0.891,2.0,298.0,,indeterminate,,False,,,insufficient_data,-0.037,0.408,0.0223,0.604,state_sensitive,,37,-0.037,-0.0323,-0.0048,0.84,5,False,weak_association,review_signal
xa,MID,primary,untested,performance,chance_creation_quality,True,caveated,position-sensitive support required,player_level,both,quantile,4140,0.19,5.0,828.0,2.512,monotonic_positive,0.761,True,,,stable,0.4257,0.746,0.2604,0.612,state_sensitive,,239,0.4257,0.4178,0.0079,1.64,68,False,weak_association,review_signal
xg,DEF,primary,untested,performance,chance_quality,True,eligible,position-sensitive support required,player_level,both,two_stage,3060,0.643,4.0,765.0,,non_monotonic,,False,,,insufficient_data,0.2491,0.591,0.2348,0.943,state_sensitive,,180,0.2491,0.2191,0.03,1.57,48,False,weak_association,review_signal
xg,FWD,primary,untested,performance,chance_quality,True,caveated,position-sensitive support required,player_level,exposure_conditioned,quantile,596,0.143,5.0,119.2,5.106,monotonic_positive,0.924,False,,,stable,0.4772,0.5451,0.4906,,indeterminate,unstable_ratio,50,0.4772,0.405,0.0722,5.37,32,False,weak_association,review_signal
xg,MID,primary,untested,performance,chance_quality,True,blocked,position-sensitive support required,player_level,both,quantile,4140,0.435,,,,indeterminate,,False,degenerate,near_constant_position,insufficient_data,0.4081,0.7407,0.3613,0.885,state_sensitive,,239,0.4081,0.3846,0.0235,1.64,68,False,weak_association,
xgc,DEF,primary,untested,defensive_context,defensive_environment,False,caveated,"team/fixture defensive context, not attacking performance",player_level,both,quantile,3060,0.036,5.0,612.0,,non_monotonic,,False,,,insufficient_data,0.0502,0.4199,-0.0428,0.853,state_sensitive,,180,0.0502,0.0494,0.0008,1.57,48,False,weak_association,review_signal
